Date,Station,count,Lat,Long
2021-06-04 17:00:00,Grove Road Totem,264,53.3296435,-6.2701778
2021-06-04 17:00:00,North Strand Rd N/B,146,53.35853,-6.24134
2021-06-04 17:00:00,North Strand Rd S/B,58,53.35846619,-6.241417032
2021-06-04 18:00:00,Charleville Mall,25,53.35694847,-6.245350215
2021-06-04 18:00:00,Grove Road Totem,282,53.3296435,-6.2701778
2021-06-04 18:00:00,North Strand Rd N/B,124,53.35853,-6.24134
2021-06-04 18:00:00,North Strand Rd S/B,71,53.35846619,-6.241417032
2021-06-04 19:00:00,Charleville Mall,15,53.35694847,-6.245350215
2021-06-04 19:00:00,Grove Road Totem,249,53.3296435,-6.2701778
2021-06-04 19:00:00,North Strand Rd N/B,112,53.35853,-6.24134
2021-06-04 19:00:00,North Strand Rd S/B,51,53.35846619,-6.241417032
2021-06-04 20:00:00,Charleville Mall,11,53.35694847,-6.245350215
2021-06-04 20:00:00,Grove Road Totem,176,53.3296435,-6.2701778
2021-06-04 20:00:00,North Strand Rd N/B,63,53.35853,-6.24134
2021-06-04 20:00:00,North Strand Rd S/B,46,53.35846619,-6.241417032
2021-06-04 21:00:00,Charleville Mall,15,53.35694847,-6.245350215
